tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:81/4768 | loss 0.203808 | train_time:350.89s | step_avg:4279.10ms
step:82/4768 | loss 0.202036 | train_time:355.22s | step_avg:4279.80ms
step:83/4768 | loss 0.200697 | train_time:359.54s | step_avg:4280.24ms
step:84/4768 | loss 0.199733 | train_time:363.84s | step_avg:4280.42ms
step:85/4768 | loss 0.199222 | train_time:368.23s | step_avg:4281.76ms
step:86/4768 | loss 0.200613 | train_time:372.47s | step_avg:4281.28ms
step:87/4768 | loss 0.200294 | train_time:376.78s | step_avg:4281.63ms
step:88/4768 | loss 0.200917 | train_time:381.15s | step_avg:4282.54ms
step:89/4768 | loss 0.199425 | train_time:385.37s | step_avg:4281.88ms
step:90/4768 | loss 0.201689 | train_time:389.67s | step_avg:4282.07ms
step:91/4768 | loss 0.200529 | train_time:393.94s | step_avg:4282.01ms
step:92/4768 | loss 0.200709 | train_time:398.32s | step_avg:4283.02ms
step:93/4768 | loss 0.199086 | train_time:402.58s | step_avg:4282.72ms
step:94/4768 | loss 0.197628 | train_time:406.85s | step_avg:4282.59ms
step:95/4768 | loss 0.195402 | train_time:411.16s | step_avg:4282.91ms
step:96/4768 | loss 0.198551 | train_time:415.40s | step_avg:4282.46ms
step:97/4768 | loss 0.196885 | train_time:419.84s | step_avg:4284.04ms
step:98/4768 | loss 0.196015 | train_time:424.09s | step_avg:4283.74ms
step:99/4768 | loss 0.194930 | train_time:428.34s | step_avg:4283.35ms
step:100/4768 | loss 0.195719 | train_time:433.04s | step_avg:4287.50ms
step:101/4768 | loss 0.193610 | train_time:437.55s | step_avg:4289.73ms
step:102/4768 | loss 0.194128 | train_time:441.97s | step_avg:4290.94ms
step:103/4768 | loss 0.193716 | train_time:446.26s | step_avg:4291.00ms
step:104/4768 | loss 0.193869 | train_time:450.58s | step_avg:4291.21ms
step:105/4768 | loss 0.195483 | train_time:454.89s | step_avg:4291.39ms
step:106/4768 | loss 0.193818 | train_time:459.23s | step_avg:4291.85ms
step:107/4768 | loss 0.191894 | train_time:463.56s | step_avg:4292.21ms
step:108/4768 | loss 0.193316 | train_time:467.98s | step_avg:4293.42ms
step:109/4768 | loss 0.194474 | train_time:472.23s | step_avg:4292.98ms
step:110/4768 | loss 0.192256 | train_time:476.48s | step_avg:4292.61ms
step:111/4768 | loss 0.193950 | train_time:480.71s | step_avg:4292.04ms
step:112/4768 | loss 0.193476 | train_time:484.91s | step_avg:4291.20ms
step:113/4768 | loss 0.191583 | train_time:489.04s | step_avg:4289.78ms
step:114/4768 | loss 0.193337 | train_time:493.11s | step_avg:4287.91ms
step:115/4768 | loss 0.191743 | train_time:497.18s | step_avg:4286.06ms
step:116/4768 | loss 0.190679 | train_time:501.25s | step_avg:4284.23ms
step:117/4768 | loss 0.189113 | train_time:505.33s | step_avg:4282.43ms
step:118/4768 | loss 0.190507 | train_time:509.40s | step_avg:4280.65ms
step:119/4768 | loss 0.188746 | train_time:513.47s | step_avg:4278.92ms
step:120/4768 | loss 0.189287 | train_time:517.54s | step_avg:4277.20ms
step:121/4768 | loss 0.186818 | train_time:521.61s | step_avg:4275.53ms
step:122/4768 | loss 0.189616 | train_time:525.69s | step_avg:4273.88ms
step:123/4768 | loss 0.187672 | train_time:529.76s | step_avg:4272.25ms
step:124/4768 | loss 0.187745 | train_time:533.83s | step_avg:4270.66ms
step:125/4768 | loss 0.188222 | train_time:537.91s | step_avg:4269.15ms
step:126/4768 | loss 0.192570 | train_time:541.99s | step_avg:4267.61ms
step:127/4768 | loss 0.191110 | train_time:546.06s | step_avg:4266.10ms
step:128/4768 | val loss 6.179287
step:128/4768 | loss 0.193358 | train_time:550.14s | step_avg:4264.68ms
step:129/4768 | loss 0.192044 | train_time:554.22s | step_avg:4263.20ms
step:130/4768 | loss 0.193211 | train_time:558.29s | step_avg:4261.74ms
step:131/4768 | loss 0.191432 | train_time:562.36s | step_avg:4260.31ms
step:132/4768 | loss 0.188326 | train_time:566.43s | step_avg:4258.89ms
step:133/4768 | loss 0.189642 | train_time:570.51s | step_avg:4257.50ms
step:134/4768 | loss 0.188917 | train_time:574.58s | step_avg:4256.13ms
step:135/4768 | loss 0.185882 | train_time:578.65s | step_avg:4254.79ms
step:136/4768 | loss 0.186901 | train_time:582.72s | step_avg:4253.45ms
step:137/4768 | loss 0.186859 | train_time:586.80s | step_avg:4252.14ms
step:138/4768 | loss 0.185281 | train_time:590.87s | step_avg:4250.85ms
step:139/4768 | loss 0.187143 | train_time:594.95s | step_avg:4249.61ms
step:140/4768 | loss 0.184071 | train_time:599.02s | step_avg:4248.36ms
step:141/4768 | loss 0.187035 | train_time:603.09s | step_avg:4247.11ms
step:142/4768 | loss 0.185494 | train_time:607.17s | step_avg:4245.92ms
step:143/4768 | loss 0.185324 | train_time:611.24s | step_avg:4244.70ms
step:144/4768 | loss 0.184313 | train_time:615.31s | step_avg:4243.52ms
step:145/4768 | loss 0.182008 | train_time:619.38s | step_avg:4242.35ms
step:146/4768 | loss 0.182364 | train_time:623.45s | step_avg:4241.19ms
step:147/4768 | loss 0.183912 | train_time:627.53s | step_avg:4240.05ms
step:148/4768 | loss 0.184431 | train_time:631.60s | step_avg:4238.91ms
step:149/4768 | loss 0.183457 | train_time:635.67s | step_avg:4237.80ms
step:150/4768 | loss 0.184099 | train_time:639.74s | step_avg:4236.70ms
step:151/4768 | loss 0.181988 | train_time:643.81s | step_avg:4235.61ms
step:152/4768 | loss 0.183552 | train_time:647.88s | step_avg:4234.53ms
step:153/4768 | loss 0.182602 | train_time:651.95s | step_avg:4233.47ms
step:154/4768 | loss 0.184936 | train_time:656.03s | step_avg:4232.42ms
step:155/4768 | loss 0.184186 | train_time:660.10s | step_avg:4231.39ms
step:156/4768 | loss 0.184695 | train_time:664.17s | step_avg:4230.38ms
step:157/4768 | loss 0.181479 | train_time:668.24s | step_avg:4229.37ms
step:158/4768 | loss 0.180724 | train_time:672.31s | step_avg:4228.39ms
step:159/4768 | loss 0.181437 | train_time:676.38s | step_avg:4227.40ms
step:160/4768 | loss 0.180832 | train_time:680.46s | step_avg:4226.44ms
step:161/4768 | loss 0.180488 | train_time:684.53s | step_avg:4225.49ms
step:162/4768 | loss 0.179021 | train_time:688.60s | step_avg:4224.54ms
step:163/4768 | loss 0.179758 | train_time:692.67s | step_avg:4223.61ms
step:164/4768 | loss 0.178858 | train_time:696.75s | step_avg:4222.70ms
step:165/4768 | loss 0.180091 | train_time:700.82s | step_avg:4221.79ms
step:166/4768 | loss 0.178024 | train_time:704.89s | step_avg:4220.88ms
step:167/4768 | loss 0.178452 | train_time:708.96s | step_avg:4219.99ms
step:168/4768 | loss 0.177621 | train_time:713.03s | step_avg:4219.11ms
step:169/4768 | loss 0.176334 | train_time:717.10s | step_avg:4218.25ms
step:170/4768 | loss 0.175123 | train_time:721.17s | step_avg:4217.39ms
step:171/4768 | loss 0.178983 | train_time:725.24s | step_avg:4216.54ms
step:172/4768 | loss 0.176554 | train_time:729.32s | step_avg:4215.70ms
step:173/4768 | loss 0.179120 | train_time:733.39s | step_avg:4214.88ms
step:174/4768 | loss 0.178993 | train_time:737.46s | step_avg:4214.06ms
step:175/4768 | loss 0.177869 | train_time:741.53s | step_avg:4213.25ms
step:176/4768 | loss 0.176504 | train_time:745.60s | step_avg:4212.45ms
step:177/4768 | loss 0.178111 | train_time:749.68s | step_avg:4211.66ms
step:178/4768 | loss 0.179749 | train_time:753.75s | step_avg:4210.92ms
step:179/4768 | loss 0.177447 | train_time:757.84s | step_avg:4210.21ms
step:180/4768 | loss 0.175800 | train_time:761.91s | step_avg:4209.44ms
step:181/4768 | loss 0.177261 | train_time:765.98s | step_avg:4208.68ms
step:182/4768 | loss 0.174934 | train_time:770.05s | step_avg:4207.93ms
step:183/4768 | loss 0.177533 | train_time:774.12s | step_avg:4207.19ms
step:184/4768 | loss 0.175869 | train_time:778.20s | step_avg:4206.49ms
step:185/4768 | loss 0.173662 | train_time:782.27s | step_avg:4205.76ms
step:186/4768 | loss 0.177566 | train_time:786.34s | step_avg:4205.04ms
step:187/4768 | loss 0.175576 | train_time:790.42s | step_avg:4204.36ms
step:188/4768 | loss 0.170519 | train_time:794.49s | step_avg:4203.67ms
step:189/4768 | loss 0.174447 | train_time:798.56s | step_avg:4202.97ms
step:190/4768 | loss 0.174844 | train_time:802.74s | step_avg:4202.83ms
step:191/4768 | loss 0.172118 | train_time:806.81s | step_avg:4202.14ms
step:192/4768 | loss 0.172534 | train_time:810.88s | step_avg:4201.47ms
step:193/4768 | loss 0.174795 | train_time:814.96s | step_avg:4200.83ms
step:194/4768 | loss 0.175686 | train_time:819.03s | step_avg:4200.18ms
step:195/4768 | loss 0.174662 | train_time:823.11s | step_avg:4199.53ms
step:196/4768 | loss 0.174169 | train_time:827.18s | step_avg:4198.91ms
step:197/4768 | loss 0.172875 | train_time:831.26s | step_avg:4198.27ms
step:198/4768 | loss 0.171927 | train_time:835.33s | step_avg:4197.64ms
step:199/4768 | loss 0.173937 | train_time:839.40s | step_avg:4197.01ms
step:200/4768 | loss 0.176287 | train_time:843.47s | step_avg:4196.39ms
step:201/4768 | loss 0.173237 | train_time:847.55s | step_avg:4195.77ms
step:202/4768 | loss 0.172338 | train_time:851.62s | step_avg:4195.16ms
step:203/4768 | loss 0.172498 | train_time:855.69s | step_avg:4194.55ms
step:204/4768 | loss 0.172523 | train_time:859.76s | step_avg:4193.95ms
step:205/4768 | loss 0.168510 | train_time:863.83s | step_avg:4193.36ms
step:206/4768 | loss 0.171137 | train_time:867.90s | step_avg:4192.77ms
step:207/4768 | loss 0.171422 | train_time:871.98s | step_avg:4192.19ms
step:208/4768 | loss 0.169180 | train_time:876.05s | step_avg:4191.62ms
step:209/4768 | loss 0.168378 | train_time:880.12s | step_avg:4191.05ms
step:210/4768 | loss 0.169659 | train_time:884.19s | step_avg:4190.49ms
step:211/4768 | loss 0.170885 | train_time:888.27s | step_avg:4189.93ms
step:212/4768 | loss 0.170910 | train_time:892.34s | step_avg:4189.38ms
step:213/4768 | loss 0.171259 | train_time:896.41s | step_avg:4188.82ms
step:214/4768 | loss 0.171975 | train_time:900.48s | step_avg:4188.28ms
step:215/4768 | loss 0.173987 | train_time:904.56s | step_avg:4187.76ms
step:216/4768 | loss 0.171815 | train_time:908.63s | step_avg:4187.22ms
step:217/4768 | loss 0.171821 | train_time:912.70s | step_avg:4186.68ms
step:218/4768 | loss 0.170645 | train_time:916.77s | step_avg:4186.18ms
step:219/4768 | loss 0.169698 | train_time:920.85s | step_avg:4185.67ms
step:220/4768 | loss 0.170117 | train_time:924.92s | step_avg:4185.16ms
step:221/4768 | loss 0.168441 | train_time:928.99s | step_avg:4184.65ms
step:222/4768 | loss 0.169542 | train_time:933.07s | step_avg:4184.15ms
step:223/4768 | loss 0.170579 | train_time:937.14s | step_avg:4183.66ms
step:224/4768 | loss 0.169231 | train_time:941.21s | step_avg:4183.16ms
step:225/4768 | loss 0.167084 | train_time:945.28s | step_avg:4182.67ms
step:226/4768 | loss 0.167601 | train_time:949.35s | step_avg:4182.18ms
step:227/4768 | loss 0.169356 | train_time:953.43s | step_avg:4181.69ms
step:228/4768 | loss 0.168163 | train_time:957.50s | step_avg:4181.21ms
step:229/4768 | loss 0.170450 | train_time:961.57s | step_avg:4180.74ms
step:230/4768 | loss 0.166518 | train_time:965.64s | step_avg:4180.26ms
step:231/4768 | loss 0.168250 | train_time:969.71s | step_avg:4179.79ms
step:232/4768 | loss 0.167141 | train_time:973.78s | step_avg:4179.33ms
step:233/4768 | loss 0.166724 | train_time:977.86s | step_avg:4178.87ms
step:234/4768 | loss 0.166078 | train_time:981.93s | step_avg:4178.41ms
step:235/4768 | loss 0.168788 | train_time:986.00s | step_avg:4177.96ms
step:236/4768 | loss 0.166270 | train_time:990.07s | step_avg:4177.51ms
step:237/4768 | loss 0.167716 | train_time:994.14s | step_avg:4177.06ms
step:238/4768 | loss 0.167429 | train_time:998.21s | step_avg:4176.62ms
step:239/4768 | loss 0.164047 | train_time:1002.28s | step_avg:4176.18ms
step:240/4768 | loss 0.167023 | train_time:1006.36s | step_avg:4175.75ms
step:241/4768 | loss 0.169358 | train_time:1010.43s | step_avg:4175.32ms
step:242/4768 | loss 0.169888 | train_time:1014.50s | step_avg:4174.90ms
step:243/4768 | loss 0.165649 | train_time:1018.57s | step_avg:4174.48ms
step:244/4768 | loss 0.166512 | train_time:1022.64s | step_avg:4174.06ms
step:245/4768 | loss 0.165366 | train_time:1026.72s | step_avg:4173.64ms
step:246/4768 | loss 0.164972 | train_time:1030.80s | step_avg:4173.26ms
step:247/4768 | loss 0.164338 | train_time:1034.87s | step_avg:4172.86ms
step:248/4768 | loss 0.163456 | train_time:1038.94s | step_avg:4172.45ms
step:249/4768 | loss 0.165006 | train_time:1043.01s | step_avg:4172.04ms
step:250/4768 | loss 0.162941 | train_time:1047.08s | step_avg:4171.64ms
step:251/4768 | loss 0.165429 | train_time:1051.15s | step_avg:4171.25ms
step:252/4768 | loss 0.163365 | train_time:1055.23s | step_avg:4170.88ms
step:253/4768 | loss 0.163701 | train_time:1059.31s | step_avg:4170.50ms
step:254/4768 | loss 0.162535 | train_time:1063.38s | step_avg:4170.12ms
step:255/4768 | loss 0.165159 | train_time:1067.45s | step_avg:4169.74ms
